Distribution statistics of daily log FX changes (all currencies, weekdays only)
Daily log change = log(level_t) - log(level_{t-1})

currency         p01         p02         p05         p10         p25         p50         p75         p90         p95         p98         p99        mean        std     skewness      kurtosis  n_log_changes
     KHR -0.01568084 -0.01217093 -0.00796092 -0.00492664 -0.00143518  0.00000122  0.00144766  0.00492036  0.00800448  0.01217309  0.01581209  0.00001129 0.00530386  -0.03328797   14.18865138           6886
     KMF -0.02041467 -0.01532354 -0.01002362 -0.00692566 -0.00271442 -0.00001648  0.00261147  0.00700365  0.01025630  0.01574710  0.02094501 -0.00001860 0.00707303  -0.00798954   13.08490142           6886
     KPW -0.01499032 -0.01199838 -0.00824123 -0.00513780 -0.00081441  0.00000000  0.00074235  0.00530905  0.00836047  0.01182333  0.01440562  0.00087443 0.07884671  65.28606111 5068.83908087           6886
     KRW -0.01627288 -0.01252399 -0.00864710 -0.00608134 -0.00273387  0.00000000  0.00272946  0.00626445  0.00887950  0.01286394  0.01642997  0.00004201 0.00629319  -0.51399544   32.06734996           6886
     KWD -0.00456068 -0.00350378 -0.00227448 -0.00161761 -0.00067856 -0.00000592  0.00071656  0.00162632  0.00234546  0.00341315  0.00456168  0.00000214 0.00203581   0.07008594  106.49846368           6886
     KYD -0.01400253 -0.01228723 -0.00877103 -0.00564558 -0.00088648  0.00000032  0.00095795  0.00554770  0.00858685  0.01226327  0.01433941 -0.00000113 0.00516423   0.01635955    7.99745295           6886
     KZT -0.01399231 -0.01097290 -0.00742720 -0.00452450 -0.00120101  0.00000160  0.00126773  0.00454419  0.00746245  0.01180199  0.01721749  0.00018073 0.00690406  12.98938828  402.16128374           6886
     LAK -0.01556724 -0.01126395 -0.00658736 -0.00340688 -0.00093168  0.00000498  0.00105690  0.00378195  0.00696053  0.01157694  0.01659985  0.00017593 0.00805093   6.10260975  810.00613774           6886
     LBP -0.00539142 -0.00444220 -0.00292366 -0.00159329 -0.00031544  0.00000000  0.00030898  0.00159996  0.00289394  0.00446963  0.00563369  0.00059330 0.03510585  59.77015683 3630.83182550           6886
     LKR -0.01175000 -0.00883305 -0.00503351 -0.00264596 -0.00063782  0.00004627  0.00094628  0.00322188  0.00548075  0.00922509  0.01286478  0.00021773 0.00442839   5.27819076  143.97154862           6886
